policy_entropy,n_updates,fps,approxkl,ep_attack_mean,value_loss,total_timesteps,policy_loss,ep_bonus_mean,explained_variance,ep_reward_mean,clipfrac,ep_normal_mean,time_elapsed,serial_timesteps
3.9317734,1,2,4.8394446e-05,0.003720238095238095,0.66115594,128,-0.006530848,-0.0654296875,-0.2930259704589844,-0.06546817732693307,0.0,0.9962412720778289,2.0265579223632812e-05,128
3.9316742,2,2,1.1135131e-05,0.0038132440476190475,19.710625,256,-0.0007482376,-0.212890625,0.09343945980072021,-0.21270928046774507,0.0,0.9963681004846359,47.35360240936279,256
3.9316745,3,2,1.5787104e-05,0.0025421626984126985,0.20303033,384,-0.0031540603,-0.14957682291666666,-1.4753448963165283,-0.14945592656183004,0.0,0.9975787336564239,91.6895477771759,384
3.9315648,4,2,1.9053436e-05,0.0019066220238095238,53.979588,512,-0.0001285579,-0.2467041015625,0.048176109790802,-0.24661342929637253,0.0,0.9981840502423179,153.33612751960754,512
3.9312198,5,2,3.6525703e-06,0.07191168782056777,17.18161,640,-0.0008394844,-0.21611328125,-0.15266430377960205,-0.1469784789465626,0.0,0.9972231144828697,209.22764372825623,640
3.9313445,6,2,1.0706322e-05,0.06621882611474754,0.8913719,768,-0.0025166466,-0.1953125,-0.2372368574142456,-0.13140774514952777,0.0,0.9976859287357248,256.3418471813202,768
3.9311216,7,2,1.0949952e-05,0.057272974075798636,1.8188297,896,-0.0018486392,-0.18198939732142858,0.3463786840438843,-0.1273488808560769,0.0,0.9973675423895532,300.6226968765259,896
3.9309478,8,2,5.69318e-06,0.0510904148163238,7.8684793,1024,-0.00079468964,-0.1910400390625,-0.7310032844543457,-0.14321786840531728,0.0,0.9967317558408589,346.89093470573425,1024
3.9307754,9,2,4.4033623e-06,0.04541370205895449,1.3528655,1152,-0.0012136262,-0.17957899305555555,0.0775291919708252,-0.13707039691583758,0.0,0.9970948940807633,393.06287240982056,1152
3.9309578,10,2,2.7831675e-06,0.04087233185305904,3.303769,1280,-0.0002675075,-0.1759765625,0.16288256645202637,-0.13771882597425383,0.0,0.9973854046726871,443.09146547317505,1280
3.9306195,11,2,3.2102498e-06,0.06414614137686857,9.210971,1408,-0.001022432,-0.174365234375,-0.07983720302581787,-0.11245781553322717,0.0,0.9977612774649043,489.3716506958008,1408
